CustomerKey,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,email,AnnualIncome,TotalChildren,EducationLevel,Occupation
11000,Jon,V,Yang,06-10-1971,M,M,jon24@adventure-works.com,90000,2,Bachelors,Professional
11001,Eugene,L,Huang,10-05-1976,S,M,eugene10@adventure-works.com,60000,3,Bachelors,Professional
11002,Ruben,,Torres,09-02-1971,M,M,ruben35@adventure-works.com,60000,3,Bachelors,Professional
11003,Christy,,Zhu,14-08-1973,S,F,christy12@adventure-works.com,70000,0,Bachelors,Professional
11004,Elizabeth,,Johnson,05-08-1979,S,F,elizabeth5@adventure-works.com,80000,5,Bachelors,Professional
11005,Julio,,Ruiz,01-08-1976,S,M,julio1@adventure-works.com,70000,0,Bachelors,Professional
11006,Janet,G,Alvarez,02-12-1976,S,F,janet9@adventure-works.com,70000,0,Bachelors,Professional
11007,Marco,,Mehta,06-11-1969,M,M,marco14@adventure-works.com,60000,3,Bachelors,Professional
11008,Rob,,Verhoff,04-07-1975,S,F,rob4@adventure-works.com,60000,4,Bachelors,Professional
11009,Shannon,C,Carlson,29-09-1969,S,M,shannon38@adventure-works.com,70000,0,Bachelors,Professional
11010,Jacquelyn,C,Suarez,05-08-1969,S,F,jacquelyn20@adventure-works.com,70000,0,Bachelors,Professional
11011,Curtis,,Lu,03-05-1969,M,M,curtis9@adventure-works.com,60000,4,Bachelors,Professional
11012,Lauren,M,Walker,14-01-1979,M,F,lauren41@adventure-works.com,100000,2,Bachelors,Management
11013,Ian,M,Jenkins,03-08-1979,M,M,ian47@adventure-works.com,100000,2,Bachelors,Management
11014,Sydney,,Bennett,06-11-1973,S,F,sydney23@adventure-works.com,100000,3,Bachelors,Management
11015,Chloe,,Young,26-08-1984,S,F,chloe23@adventure-works.com,30000,0,Partial College,Skilled Manual
11016,Wyatt,L,Hill,25-10-1984,M,M,wyatt32@adventure-works.com,30000,0,Partial College,Skilled Manual
11017,Shannon,,Wang,24-12-1949,S,F,shannon1@adventure-works.com,20000,4,High School,Skilled Manual
11018,Clarence,D,Rai,06-10-1955,S,M,clarence32@adventure-works.com,30000,2,Partial College,Clerical
11019,Luke,L,Lal,04-09-1983,S,M,luke18@adventure-works.com,40000,0,High School,Skilled Manual
11020,Jordan,C,King,19-03-1984,S,M,jordan73@adventure-works.com,40000,0,High School,Skilled Manual
11021,Destiny,,Wilson,02-03-1984,S,F,destiny7@adventure-works.com,40000,0,Partial College,Skilled Manual
11022,Ethan,G,Zhang,10-04-1984,M,M,ethan20@adventure-works.com,40000,0,Partial College,Skilled Manual
11023,Seth,M,Edwards,09-04-1984,M,M,seth46@adventure-works.com,40000,0,Partial College,Skilled Manual
11024,Russell,,Xie,16-03-1984,M,M,russell7@adventure-works.com,60000,0,Partial College,Skilled Manual
11025,Alejandro,,Beck,22-06-1951,M,M,alejandro45@adventure-works.com,10000,2,Partial High School,Clerical
11026,Harold,,Sai,01-10-1951,S,M,harold3@adventure-works.com,30000,2,Partial College,Clerical
11027,Jessie,R,Zhao,05-06-1952,M,M,jessie16@adventure-works.com,30000,2,Partial College,Clerical
11028,Jill,,Jimenez,09-10-1951,M,F,jill13@adventure-works.com,30000,2,Partial College,Clerical
11029,Jimmy,L,Moreno,19-06-1952,M,M,jimmy9@adventure-works.com,30000,2,Partial College,Clerical
11030,Bethany,G,Yuan,18-02-1958,M,F,bethany10@adventure-works.com,10000,2,Partial High School,Clerical
11031,Theresa,G,Ramos,18-02-1953,M,F,theresa13@adventure-works.com,20000,4,High School,Skilled Manual
